Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,23.639999389648438,25.969999313354492,22.729999542236328,25.200000762939453,25.200000762939453,43231900
2021-02-02,27.979999542236328,35.18000030517578,26.459999084472656,32.13999938964844,32.13999938964844,100196700
2021-02-03,32.349998474121094,34.5,27.575000762939453,29.489999771118164,29.489999771118164,85281200
2021-02-04,29.0,31.450000762939453,26.1299991607666,30.219999313354492,30.219999313354492,44528600
2021-02-05,30.899999618530273,36.0,30.700000762939453,34.650001525878906,34.650001525878906,66165800
2021-02-08,34.16999816894531,34.97999954223633,30.299999237060547,32.880001068115234,32.880001068115234,35490100
2021-02-09,31.700000762939453,33.689998626708984,30.219999313354492,33.310001373291016,33.310001373291016,28973300
2021-02-10,32.0,34.4900016784668,30.0,32.869998931884766,32.869998931884766,33355500
2021-02-11,32.25,33.15999984741211,31.200000762939453,31.5,31.5,24036100
2021-02-12,35.040000915527344,41.369998931884766,33.5099983215332,39.97999954223633,39.97999954223633,67005600
2021-02-16,38.27000045776367,55.0,36.52000045776367,52.70000076293945,52.70000076293945,96169900
2021-02-17,54.66999816894531,59.5,50.29999923706055,56.22999954223633,56.22999954223633,63311100
2021-02-18,55.810001373291016,64.86000061035156,55.54999923706055,58.04999923706055,58.04999923706055,76696200
2021-02-19,60.09000015258789,61.970001220703125,50.31999969482422,52.939998626708984,52.939998626708984,59097400
